tweet_text,sentiment
People who think this might actually work is dumb 😬😅 #AppleEvent https://t.co/ZiNEsMnvc6,2
"The removal of charger, cable, and headphones isn’t accompanied by a reduction in price though. 🤨 #AppleEvent https://t.co/WNKbciEP02",2
Will you be upgrading to the iPhone 12 series? #AppleEvent,1
I can imagine how uncomfortable the bigger iPhone 12 models will be to hold for a long usage period. #AppleEvent,2
#AppleEvent    iPhone 12 starts at 3 kidney. Payment options available give your two kidney upfront. Find another kidney in next 6 months. Kidneys should be in working condition.,2
All from the #AppleEvent that i can afford is this like button.,2
"iPhone 12 is a beauty but sorry apple, until they #EndSWAT #AppleEvent",1
Ok actually I like it #AppleEvent https://t.co/UgK2FSkNwP,0
Is it bad that I own an iPhone 11 Pro Max but I’m desperate to change to iPhone 12 Pro Max? #AppleEvent,0
Slightly bigger iPhone 5S is an iPhone 12mini  #AppleEvent   #TheiPhone12 https://t.co/QzwwHTct0m,1
Amazingggggggg #AppleEvent https://t.co/CGKiglmBo4,0
"Na Red Cap ny do am, we know all their tricks. They will not succeed this time. God pass them #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND https://t.co/JEpOPwtcWf",2
coba like #AppleEvent,0
Squared off edges are back!!! Thanks to @Apple     Other oems will surely follow this trend! Ehem * @SamsungMobile     #AppleEvent,0
"try to click the love button and you'll see a magic, it's so cool and sweet!!    #AppleEvent",0
YOUR CHILDREN DEY HOUSE #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND https://t.co/3Kqy6K9vPy,2
give a like and see     #AppleEvent,1
"The Apple iPhone 12 mini is smaller, lighter than the iPhone SE 2020. It's also said to be the lightest, smallest 5G phone in the world.  https://t.co/tR6YZ8BRSg  #AppleEvent #iPhone12 #iPhone12mini",0
The iPhone will be soon sold without the iPhone at the price of the iPhone 🤔😳😅 #AppleEvent,2
@tim_cook @Apple @AppleSupport You guys really need to consider your pricing strategy in India... it has gone from worse to worst... $1630 for #iPhone12Pro that sells for $999 in the US... insanely pricy!  #Apple #AppleEvent #iPhone12,2
"""I used to say the iPhone was the greatest product introduction ever.... I’ve got more power than Superman with my iPhone I swear to God. So we all are superheroes now."" @stevewoz on the launch of the #iPhone https://t.co/QshjsTpIlT #AppleEvent",0
@OnePlus_IN Rewatching yesterday’s #AppleEvent,1
APPLY PRESSURE #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND https://t.co/mZ36L0Ft4R,2
Apple 12 is combination of 5+11 #AppleEvent #Apple,1
hey girl ....I don't need ur heart...  plzz give me your kidney..  #AppleEvent,2
"All Youtubers tweeting about their official sponsor @Apple #AppleEvent ... No charger,  no lighting ear pods, no headphone jack but yes to plastic straight out of the box on screen and back of the phone ... Slow claps @Apple ..Also, bringing Raw support with a fancy name Pro Raw",2
Apple not giving headphones and charger and headphone jack= stupid.  Apple=stupid. Not gonna buy it. @Apple  #AppleEvent,2
Cutie  #AppleEvent,0
Why Y'all guyz so obsessed with Iphone? Its Shit    #AppleEvent,2
Give me a beautiful like👍  #AppleEvent,0
"Me waiting for that moment when I would go shop to buy #iPhone12 &amp; suddenly @imVkohli would come,then say,""Mein ye kharid ke deta hu, aap jaake @Dream11 me team bnao."" 😁😁😂    #AppleEvent @RVCJ_FB @IPL @RCBTweets @Apple @RVCJBong  Kidney nhi bechunga! 😆🤣😎😎",1
like this tweet and see what happens (stolen 😁) #AppleEvent,0
DID IT WORK DID IT WORK :D #AppleEvent,1
#AppleEvent I have to,0
WANT!!! #AppleEvent #iPhone12ProMax https://t.co/2gjx2FOfZy,0
@AmreliaRuhez Next year No USB-C to Lightning Cable🤣  Sold Separately...✌️  #AppleEvent   #iPhone12Series,2
"Stick this tweet where the sun don't shine, mschewwwwwwwwwwwww #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND https://t.co/B28fDgO082",2
Like this for a surprise! #AppleEvent,0
#AppleEvent Like my tweet,0
@lukemcgee Home Pod Mini Bruh.. Like don't even get it twisted. Last night was something else.    Hot Dang #AppleEvent,1
#AppleEvent summary:   HomePod mini &amp;  iPhone 12     Store +$1199  🏦 Acc. -$1199,1
So is the secret just adding the #AppleEvent and you get the heart?,1
Only @Apple could have pulled a Capitalistic move using the Environment as an excuse. Will rivals follow or contradict??    @oneplus @SamsungMobile   #Apple12 #AppleEvent #Hypocrisy #NoCharger,2
"#iPhone12 launched at  #AppleEvent   In Malaysia,  iPhone 12 Mini is priced at RM3,399 (64GB), RM3,599 (128GB) and RM4,099 (256GB). iPhone 12 is priced at RM3,899 (64GB), RM4,099 (128GB) and RM4,599 (256GB)...",1
Cute #AppleEvent,0
1. follow me  2. fav this tweet for magic💥  #AppleEvent,0
@i_am_not_tiny Hehehe actually I used that hashtag--- #AppleEvent and that's why It's happening 😊💜 when you use this hashtag it'll happen ✌️,1
Exactly! #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND https://t.co/YKVvnL8fXJ,2
my sister is selling her iphone Xs Max 256gb for only 15k!!! I bought my iphone X for 30k!!! Tangina this. But mine might be free since i ‘bought’ this from my other sister 🤪😂 bili na kayo old models haha #AppleEvent,1
#AppleEvent I'm very amused by the like button change 😱,0
#ICYMI: Las Vegas was featured in Apple’s virtual unveiling of the new iPhone 12 on Tuesday. https://t.co/4gMaw4apEj #AppleEvent #8NN,1
is uncle remember about #AppleEvent that made him becoming an ONCE in a day???? because of momo? 🤣🤣🤣 @JackPhan,1
See if where you live has #5G compatibility using the following tool:    #AppleEvent | #5GforAll | #iPhone12    https://t.co/NuSgCLZ5rs,1
I thought with #Adam and #Eve there is a whole new world in the making in this #AppleEvent !,0
@AppleSupport @Apple I just bought a second hand iphone7. Can you slow down a fucking moment? #iPhone12 #AppleEvent,2
@__banke__ I so much love it! #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND,2
The secret animation that plays when you like any tweet (like this one) with the #AppleEvent hashtag is back from last month. Give this tweet a like and see for yourself 👀,1
click the like button for a surprise!  #AppleEvent,1
FYI: Apple has removed the charger and earphones for all other previous iPhone models too.😊    #Apple #AppleEvent,2
"Based on the fact that @Apple did not announce a release date for #macOSBigSur or #AppleOne , I think there’s another #AppleEvent in the pipeline. Maybe November?",1
no one:     my tl: like for a surprise #AppleEvent,1
#AppleEvent     DISAPPOINTMENT !,2
@Apple I just bought a second hand iphone7. Can you slow down a fucking moment? #iPhone12 #AppleEvent,2
"Mey we nor lose guard, unto the mata wen dey ground which is to #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest #SARSMUSTEND #ENDSARSOPPRESSION https://t.co/KsfIRo2VSw",2
"How amazing is tech.    Listening to the #AppleEvent in #SpatialAudio through the #AirPodsPro on the #iPadPro, hearing about the advancements in the #iPhone12 &amp; #iPhone12Pro 🤯   #RRPPro",0
#iPhone12. I was genuinely tempted. But still no fingerprint scanner (facial recognition is useless right now) and mmWave 5G is only supported on US models. Disappointing for a 2020 flagship. You almost had it @Apple. Maybe next year...🤷🏻‍♂️   #AppleEvent #TimCook,2
Time to upgrade... do I go with the iPhone 12 pro or Pro Max? #AppleEvent,0
@janellameow You’re right #AppleEvent,0
"tbh except iphone 12 mini and iphone 12 others arent worth it and if you have even slightly big hands DON'T buy the mini,it's smaller than an iphone 6. #AppleEvent",2
After #iPhone12 launch  Me:  can i afford iPhoneXR /iPhoneSE  now 🤔  #AppleEvent #iPhone12Pro #iPhone,2
iPhone 20 will be just the box. You will have to pay for the phone separately!    #AppleEvent https://t.co/Oj1oSoWcIa,2
"Certified bangers: Here are all the songs Apple played at its October #iPhone12 #appleevent, including THAT intro song from @Ruellemusic https://t.co/jAI9nI87lY",0
@Apple is such a flex brand. 💁🏻‍♂️  #AppleEvent,0
"@NikiasMolina I'm surprised the special like button is still there, after the last event it was removed    #AppleEvent",1
Hit like and see the magic..  Like kottandi mari..😍    #AppleEvent,0
Press the love button to see magic   Ps:have an awesome day!  #AppleEvent,0
iPhone : #AppleEvent,1
Anyone should watch at least once an #AppleEvent to learn how to do make a pitch!     #WednesdayWisdom #iPhone12,0
Like this tweet nd see the magic.  🍭  #AppleEvent,1
@saaramathi Just like any tweet with #AppleEvent and see the animation.,1
now if my AirPod Pros can charge as fast as my iPhone 11 Pro Max #AppleEvent might be on to something.,1
"Maxed out Apple iPhone 12 Pro Max with Apple care costs Rs. 189,000  (Approx 2500$)🙈 here in India #AppleEvent",1
@dego_finance DEGO or Apple Event #AppleEvent,0
@imyuvii @parthjani iPhone 5s with bigger display and better camera lens?    BTW I’m in too 😀 #iPhone12mini #AppleEvent,0
"@8ap Here is a fun fact You can have a round way trip to Dubai from Mumbai and purchase the latest iPhone and still pay less price for the same if you purchase it from   Dubai it's  Rs.1,11,198, but Rs.129900 in India.  WATTA PRICE @Apple  #iPhone12  #AppleEvent   😂",2
"Iphone not providing charger bundle and earphones citing environmental reasons is same as my mother denying my request for a night out with friends saying ""Tere bhale k liye bol rhi ho, tu nahi samjhega abhi""    #iPhone12 #iPhone12Series #AppleEvent",2
COOL 😎 #AppleEvent,0
Any thing to #SustainTheProtest #EndSARS  #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SARSMUSTEND   https://t.co/M7Dg6OodKR,2
Last year there were memes of selling iphone without charger and earphones and it happened.   I hope apple doesn't get anymore ideas🥶 #AppleEvent,2
Heart this and see what happens: #AppleEvent,0
#AppleEvent   #Apple  like it and see magic,1
#AppleEvent   This one works!,0
URGENT: Please respond to the tweet below to save our fellow Nigerians who were arrested while protesting.     #ENDSARS #AppleEvent #EndBadGovernanceinNIGERIA #EndPoliceBrutality #EndPoliceBrutalityinNigeria https://t.co/EkmDEjndUf,2
This is Zulm.  But iPhone users will feel they are doing their part for the environment being robbed this way😂    #AppleEvent https://t.co/Qy77uhFIIM,2
This is so cute pls 🥺 #AppleEvent,0
Impact of Covid-19 on Smartphone usage among people and their screen time.     #COVID19 #smartphone #iPhone12 #playstore #AppStore #Android #iOS14 #AppleEvent #Apple #appannie #QuarantineWatchParty https://t.co/wc1NhDeXI5,2
#AppleEvent  Like = animation !,0
Hello! #AppleEvent,0
"While many are astonished that @apple has launched a 5G phone when not many in the world can still use it, I believe it was done primarily for #China that currently has 110 Mn 5G users/ can be easily termed as the world's largest 5G market.    #AppleEvent #iPhone12 #SVGPoV #4G #5G",1
Click the like button to see the magic #AppleEvent,0
Happening trends today at India:  #gautamgambhir  #CSKvsSRH  #AppleEvent  #wednesdaymorning  #HyderabadRains   https://t.co/lMbINYwYxr      india/,2
"try to click the ""❤️"" and you'll see a magic! woah! #AppleEvent",0
The animation after liking is awesome than the new phone  #AppleEvent,0
The only comparison we care about.    #BTC #AppleEvent https://t.co/tImyw1wlG1,0
"Apple product is like my crush, always high on standard and out of my reach.    #Apple #AppleEvent",0
Me: I'm mature. I have responsibilities.  Also me:  Like  Unlike  Like  Unlike  Like   Unlike  Like  Unlike  Like  Unlike  #AppleEvent https://t.co/LweBuR46D0,0
Hit a like to get a reaction!  #AppleEvent,0
"@IshwarSultania @TrakinTech #AppleEvent   iPhone 12 Pro  India Price starts at INR 1,19,990/-  Max At 1,29,990/-  #This is just ridiculous 😠😠😠😠😠😠😠😠😠😠😠😠😠",2
#AppleEvent KYS losers. #Samsung winning.,2
I heard iPhone 7 is really good. Looks classy. #appleevent,0
"@TrakinTech #AppleEvent   iPhone 12 Pro  India Price starts at INR 1,19,990/-  Max At 1,29,990/-  #This is just ridiculous 😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠",2
"Hmm, just noticed HomePod Mini only has 802.11n. The older HomePod Big has 802.11ac #AppleEvent  🤔",2
"#AppleEvent   Finally! Small size smartphone! I'm waiting for 4G 5,4' version, because cheaper 😆",0
Let's not lose focus please     #EndSWAT #EndPoliceBrutalityinNigeria #SARSMUSTENDNOW #SarsMustGoNow #AppleEvent #SARSENDED,2
loved the new iPhone 12 Pro #AppleEvent,0
@Ibadsayed Why even the question after the #AppleEvent ?,0
"No matter how desperate you are to get the iPhone 12, your body shouldn’t pay the price. #AppleEvent 😂",2
"Plenty of small changes, and a couple of big ones. If you want a roundup of yesterday’s #AppleEvent here it is! https://t.co/tJCYtQVpVD",0
"try to click the ""Growing heart"" and you'll see this !! so cool !! #AppleEvent",0
I genuinely like the iPhone 12 mini     #AppleEvent,0
So are we expecting third #AppleEvent this fall? They promised to update Macs too...,1
There’s a lot to talk about from yesterday’s #AppleEvent . Luckily our reporter @srivi20 has all for you. #iPhone12 #HomePodMini #MagSafe and all! Read all about it...   https://t.co/qZsRMJ38lK,2
"#AppleEvent   iPhone 12 Pro  India Price starts at INR 1,19,990/-  Max At 1,29,990/-  #This is just ridiculous https://t.co/1PMbf6pVCF",2
"@8ap #AppleEvent   iPhone 12 Pro  India Price starts at INR 1,19,990/-  Max At 1,29,990/-  #This is just ridiculous",2
"@GabbbarSingh Most Indian dream of just having a phone. With 1% penetration, iPhones are amongst least popular mobiles brand in India. #Elites #Apple #AppleEvent",2
"While the iPhone 12 has released, at the time iPhone 11 suddenly looks like a junk 😅 wiki #AppleEvent #Apple #iPhone12 #iPhone11",0
The latest The Franzrusso Daily! https://t.co/KCqP1NWE1n #appleevent,1
Cuba try test !   Tap ❤️   #AppleEvent,0
Just like and have fun. #AppleEvent,0
"@Apple you are not launching stuff, Just making my list of things I can't afford. Yu dnt understand?  #AppleEvent #Apple",2
New Blog: Things we can learn from an Apple Keynote Event #AppleEvent     https://t.co/YiT0RqgElG,0
"Under the sun and in the rain, with dedication and selflessness... 🎶🎶    #EndSWAT #SWATMUSTEND #AppleEvent https://t.co/SQv4BeC31c",2
oh cool #AppleEvent,0
the iphone 12 colours are ugly af 🤢 #AppleEvent,2
Heart this tweet now. Chr #AppleEvent,0
@therecordmaka @Apple Yeah. Kudos to the team that put it together... whooshing down onto that table and around the HomePod to reveal the theater sitting next to it? Just excellent stuff. #AppleEvent,0
"For all the #apple fans and for #AppleEvent , this one's for you ... #Appleevent2020 #Apple12 #iPhone12mini #iPhone     https://t.co/CHiG6L055j",0
"RIP⚰ 1 inch sensor cameras📷   +  That sensor stabilization  tho🤯  Gimbel like results....maybe even action cameras ( gopro,insta360) are not needed anymore..( aside from durability ofcourse)..    Apple are producing better cameras than camera companies themselves LOL    #AppleEvent",2
They didn’t mention battery improvements on these new Apple phones on yesterday’s #AppleEvent,2
"Honestly, 120 Hz feels just amazing.    How are you Apple fans??  #AppleEvent",1
I consistently drop my phone like this cause I’m just clumsy and I’m so impressed that I have no cracks on my display. Excited for the iPhone 12 lineup.    #AppleEvent https://t.co/boU6gXtaFK,1
"iphone be like, we should also Remove the box, environment is important 🙄😒  #iPhone12 #AppleEvent #Apple",2
"@Apple Makes laptops with one port and makes you buy all kind of dongles increasing e-waste. Also,   Hypocrisy at its peak lol.  #AppleEvent",2
Kidney jokes are old now  Is there Anything new?    #AppleEvent,2
Who will become upcoming star cricketer in TEAM INDIA  #ishankishan  #subhmangill   #shreyasiyer   #Devduttpadikkal  #SarkaruVaariPaata #DC #RCB #KKR #CSK #mi #srh #RR #KXIP #Master #VakeeISaab #RadheShyam  #Valimai #RamarajuForBheem  #rrr #AppleEvent #AmazonPrimeDay #gautamgambhir,2
iPhone 12 \(≧▽≦)/ #AppleEvent   https://t.co/EVbBayiKcv,0
"Omg😍😍😍its so amazing 😍😍😍  try to click the ""💗"" and you'll see this !! Its working 💜💜 !! #AppleEvent https://t.co/e6UdxlAH29",0
*For Android phones*  Guy1: The new XyZ brand with Android 123 version is out    Guy2: What are the features? Price? Etc etc    *For Apple phones*  Guy1: Dude the new iPhone 12 is out!!    Guy2: Nice!! what's the price of iPhone 11?    #AppleEvent #iPhone12Series,2
Why #AppleEvent  is trending???,1
Indian homes doesn’t need any #intercom. Jab tak chillake nai bulayenge hume feel nai aati. #AppleEvent #AppleHomepodmini,2
Imagine finally making the iPhone cheaper only to lose 80 billion in a day and experience reverse stonks 📉  #AppleEvent,2
Highly disappointed with the IPHONE 12. #AppleEvent,2
YOO THIS IS OS COOL LIKE AND U WILL SE #AppleEvent,0
#AppleEvent Just tweeting this for that like animation although new iPhone sucks!,2
goo morningggg..like this to see magic #AppleEvent,0
Android​ #AppleEvent,2
"Take both of my kidneys, cause bitch I’m sold. #iPhone12 #AppleEvent #Apple #iPhone12mini",0
10 best features of iPhone 12 Pro and iPhone 12 Pro Max  #AppleEvent #iPhone12   https://t.co/ohBK6A923b,0
"In 2019, Apple was responsible for 25.1 million metric tons of greenhouse-gas emissions. 👎 In 2020, the $1.6 trillion company commits to becoming carbon neutral by 2030. #AppleEvent  👍   Learn more @climate   https://t.co/TW41XvGCRT",2
Mobile companies other than apple please please don't think 'no charger' is cool and even you start it   #AppleEvent,2
LiDAR Scanner from iPhone 12 Pro Max can improve and hasten Interior Design Processes &amp; Engineering Surveying. Talk about innovation using sensors ano po? #AppleEvent,1
"To compensate for removing the #EarPods from the box, @apple has lowered their price. EarPods with lightning connector now cost $19/₹1,900. A full $10/₹1,000 off! #iPhone12 #AppleNews #AppleEvent",2
I was waiting for apple to announce a 120hz display  #AppleEvent,1
After every apple product launch event:    South Delhi walo pr pressure.    Businessman pr pressure.    110 followers k sath DM for collaboration bolne wali model didi pr pressure.    Me: 12 launch ho gya hai 6 sasta milega ab.  #Apple  #AppleEvent,2
Ra weee like vite fait #AppleEvent,2
Lets see if this works!  Like this tweet and you will see a new animation!    #AppleEvent,0
iPhone 12 has no charger in the box... The prophecy is true... #AppleEvent,2
click the heart 😼 #AppleEvent,0
I phone 11 - (charger+airpods) =I phone 12  #AppleEvent,2
Hit the like button to see the magic     #AppleEvent,0
Meet the New iPhone 12—All Four of Them https://t.co/xpfQga8RrR #CIO #itnews #Cloud #BigData #AppleEvent via @WIRED,0
#AppleEvent WHY IS IT SO SLOW,2
I don’t understand the electronics engineering of the iPhone 12 Pro Max but I know it’s a beast and I will get it.     @MTCNamibia when are we getting the 5G network? I would like to download stuff “yesterday”.  #AppleEvent,1
"Do you want a FREE chance to win an iPhone 12? 📱 Well, keep an eye on our Twitter &amp; website in the next few days! 👀💝😉    #iPhone12 #AppleEvent  #BithumbGlobal #Crypto #cryptocurrency #Airdrop #GiveawayAlert",1
fly 😵 an #iPhone 12 #AppleEvent https://t.co/g2P0AOdO2v,0
I won't upgrade to the iPhone 12 Pro (#iphone12pro #appleevent #apple): https://t.co/SJUo0ChBOG,2
#appleevent kkkkkkk da like ae,1
.@tim_cook U.S. utility giant Duke Energy announced plans to double its renewable portfolio in only five years and then more than double it again by 2050. #renewableenergy #AppleEvent #ClimateChange,2
The new #iPhone12Pro sizes are LEGAL and LETTER 😜 #AppleEvent #iPhone12 #Apple,0
😂 what response to #Apple for removing everything from box 📦     #AppleEvent #iPhone12 https://t.co/USU85HWdHg,2
"iPhone 12 is basically a bigger iPhone 5 but with a notch and with small bezels. Or else, everything is the same as iPhone 11, regarding the design. 🤷‍♂️ #AppleEvent",2
"Post the death of Steve jobs, creativity at Apple is nothing but a mere software upgrade from its previous version. Yes, I am speaking about hardware products only.     #Apple12 #AppleEvent",2
Ooo apple events like button is interesting 👀 #AppleEvent,0
coba like #AppleEvent,1
@Apple charges buyers so much for its phone that it has now decided to discontinue charger with new phone. #iPhone12 #AppleEvent,0
Only one question  Do you have usb-c adapter?  #iPhone12 #AppleEvent #Apple,2
Simple to say:  iPhone 12 and Pro preorder Oct 16th and ship Oct 23  Pro Max preorder Nov 6th and ships Nov 13th    #AppleEvent,2
The way apple has been selling the similar kind of phones with just different model names at higher prices   Chutiya ban bhi rhe log😭😹  Also click on the like button it's cute tho🥺  #AppleEvent,2
like and unlike this 😈😈 #AppleEvent,1
Resurrection of iPhone 5    #iPhone12 #AppleEvent,0
This doesn’t make sense! 😂🤦‍♂️ #AppleEvent https://t.co/Cxn8uQCDE2,2
There was a lot Apple didn’t talk about at #AppleEvent     No AirPods Studio  No Apple TV STB  No Big Sur  No Airtags,2
Am not getting it 🙄😶 #AppleEvent https://t.co/R5Ogrk6p17,2
"Android fans get excited about high refresh rate screens, periscope cameras and new form factors while Apple fans get excited about  new iPhone colours......#iPhone12 #Samsung #AppleEvent",2
Trolling #Apple  but most of brand going to copy Apple.. without charger thing... It's business.. remember the headphone jack..   #AppleEvent,2
iph12 do be ugly #appleevent,2
"Models &amp; Colours are Lovely,    Prices are Too High in INDIA 🇮🇳  &amp; AUSTRALIA 🇦🇺     Lowest in USA 🇺🇸     #AppleEvent",2
#iPhone12  lineup:  iPhone SE: starting $399 (64GB)  iPhone X🅁: starting $499 (64GB)  iPhone 11: starting $599 (64GB)  iPhone 12 mini: starting $699 (64GB)  iPhone 12: starting $799 (64GB)  iPhone 12 Pro: starting $999 (128GB)  iPhone 12 Pro Max: starting $1099 (128GB)  #AppleEvent,1
"The 6.1-inch iPhone 12 this time is the sweet spot for Apple in India, handy yet big enough to perform all tasks    Apple India order this festive quarter, and next few months, is: iPhone 11, SE 2020, iPhone 12, 12 Pro and Mini, says @navkendarsingh     #AppleEvent   #Apple  #iPhone12 https://t.co/BY4PSYqN5R",2
like this tweet for a surprise #appleevent,0
5year with #iPhone @Apple   Thanks to #iPhone12 launch  Now im switching to @SamsungIndia   #Note20  80k just for phone and box #AppleEvent,2
Preorders would be as follows:    iPhone 12 &amp; iPhone 12 Pro  Friday Oct 16 | Release date Friday Oct 23    iPhone 12 mini &amp; iPhone 12 Pro Max  Friday Nov 6 | Release date Friday Nov 13    #AppleEvent    For Bahrain follow up with ur local dealer / service provider but it should be the same,2
"Muslims, Christians, Traditionalists, Atheists, Agnostics please pray, affirm, speak positivity, do whatever you do. We need renewed strength and vigor to keep this going. #EndSARS #EndPoliceBrutalityinNigeria #EndSWAT #SarsMustGoNow #EndSarsNow #AppleEvent #SustainTheProtest",2
Taking a flight to Dubai and buying an iPhone from Dubai costs less than buying the iPhone in India. Wow.  #AppleEvent #Apple12 #appleindia,2
Try liking this it's so pretty #AppleEvent,0
"We all are chasing a great career which include high status, power and wealth and its ok to do so. But in the end its the contentment that matters. The rest is a bonus.  #AppleEvent   #Apple",2
I think apple should give away a one time free wall plug and an earphone for those who switched from android to iPhone and don't have an apple charger at home because you are paying the same price of the iPhone that used to have a wall plug and an earphone in a box #AppleEvent,2
cool pe #Appleevent,0
the like emoji animation for this is cute #AppleEvent,0
Enjoy our music from yesterday’s #AppleEvent  about the all-new #HomePodmini and the most advanced iPhone generation ever - #iPhone12 and #iPhone12 Pro with the endless possibilities with #MagSafe accessories! #Apple https://t.co/RkxRK0TL4e,0
Apply do do till they done do skunt #AppleEvent,2
@Apple Any plans to support faceID with mask 😷 . #iPhone12 #AppleEvent,1
"@SuperSaf #AppleEvent  #Apple removing chargers to save environment and next year Android phones will say that ""Not only Apple but we too want to save environment""😂😂  @SuperSaf",2
I like the whole apple #AppleEvent presentation but sad thing is that we don’t see hands on review after that,2
iPhone 12 is basically a bigger iPhone 5. Love it.  #AppleEvent,0
@TubaAtweets I did not like it. Samsung Note 10 plus or Note 20 ULTRA is much better then iphone. #AppleEvent #Apple #Apple12,2
"And also @Apple how impertinent - What the f*** with the European price! While in the US the iPhone Mini starts at 699$ ... in Europe it’s from 780 Euros! That is 80 € more, although the US-Dollar is only 0,85 Euros worth at the moment ... R u kidding me?   #AppleEvent",2
#AppleEvent  it's fun yo,0
#AppleEvent my take on the event: the mini is the one I would go to. Definitely.     But I won’t change my iPhone X until iPhone will feature:   - USB-C (if there will be any port in the next year model)  - Touch ID,2
@Apple Are you kidding me? Your new smartphone looks exactly like the iPhone 5/SE Generation with a new screen... So where is the “Design-Innovation“ you were once known for?   #AppleEvent,2
The true face of @apple for everyone to see. Using emotional blackmail to make more money in the name of the environment.  I am your customer. Who told you that “most of us” do not use charger or earphones?  Will you give them for free if I want to use them?    #AppleEvent #iPhone12,2
Welcome @Apple in #5G world. #iPhone12 #AppleEvent  And welcome back ;) https://t.co/1p0y0zLl0k,0
I hacked twitter again. If you like this tweet the animation is different    #AppleEvent,1
click like for a surprise #AppleEvent,1
I personally want the iPhone 12 mini but in pink..so cute #AppleEvent,0
"try to click the ""❤️"" and you'll see this !! so cool !! #AppleEvent",1
"Dear Tim Cook, remember last year when we said a thing about #Apple not giving chargers inside the box? It was supposed to be a JOKE.     #AppleEvent",2
Like🤩 #AppleEvent,0
"@SamsungMobile @Xiaomi @oppo @Vivo_India @oneplus - For the love of god.. Do not, just do not folkow this blind trend of removing the bloody charger from the box!   #AppleEvent #iPhone12 #charger #iphonecharger",2
"""Apple can't innovate"" rhymes with ""here's some clickbait"". The success of the iPhone 12 will rest mostly on how well they managed to incorporate 5G, not on the bells and whistles. #AppleEvent",2
